time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1444464914	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.287241	4.270133	4.271558	1.764029	10.500000	14.500000	99.083794	98.785599	98.785599	0	0	1	1	156	1167435
1444464915	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.278687	4.260152	4.264430	1.763224	10.500000	14.500000	99.156143	98.894958	98.932274	0	0	1	1	156	1212719
1444464916	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.288667	4.274410	4.274410	1.764029	10.500000	14.500000	99.230751	98.894958	98.894958	0	0	1	1	156	1167413
1444464917	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.271558	4.271558	1.764835	10.500000	14.500000	99.231468	98.858490	98.858490	0	0	1	1	156	1201372
1444464919	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.272984	4.274410	1.764835	10.500000	14.500000	99.156868	98.895782	98.858490	0	0	1	1	156	1167415
1444464920	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.287241	4.271558	4.271558	1.765641	10.500000	14.500000	99.120316	98.523727	98.859314	0	0	1	1	156	1167435
1444464921	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.288667	4.272984	4.275836	1.764835	10.500000	14.500000	99.194893	98.859314	98.896599	0	0	1	1	156	1170015
1444464922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.275836	4.255875	4.258727	1.764029	10.500000	14.500000	99.342010	98.931450	98.968781	0	0	1	1	156	1168571
1444464923	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.288667	4.271558	4.272984	1.765641	10.500000	14.500000	99.232185	98.822021	98.896599	0	0	1	1	156	1167442
1444464925	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.271558	4.270133	1.766447	10.500000	14.500000	99.194176	98.858490	98.933075	0	0	1	1	156	1164685
1444464926	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.287241	4.274410	4.272984	1.765641	10.500000	14.500000	99.194176	98.858490	98.858490	0	0	1	1	156	1167426
1444464927	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.274410	4.272984	1.765641	10.500000	14.500000	99.194176	98.933075	98.858490	0	0	1	1	156	1167445
1444464928	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.271558	4.272984	1.764835	10.500000	14.500000	99.156868	98.858490	98.821190	0	0	1	1	156	1164715
1444464929	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	4.943151	4.285816	4.268707	4.270133	1.766447	10.500000	14.500000	98.859314	98.822021	98.784737	0	0	1	1	156	1167425
1444464931	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.268707	4.271558	1.766447	10.500000	14.500000	99.156868	98.783882	98.895782	0	0	1	1	156	1167444
1444464932	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.287241	4.272984	4.271558	1.766447	10.500000	14.500000	99.157608	98.859314	98.822021	0	0	1	1	156	1167448
1444464933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.288667	4.275836	4.274410	1.765641	10.500000	14.500000	99.305382	98.969566	98.969566	0	0	1	1	156	1164683
1444464934	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.287241	4.272984	4.272984	1.766447	10.500000	14.500000	99.120316	98.822021	98.784737	0	0	1	1	156	1168562
1444464935	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.287241	4.265855	4.258727	1.766447	10.500000	14.500000	99.083031	98.822021	98.822021	0	0	1	1	156	1167435
1444464937	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.288667	4.274410	4.274410	1.766447	10.500000	14.500000	99.268059	98.969566	98.932274	0	0	1	1	156	1190333
1444464938	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.272984	4.272984	1.767253	10.500000	14.500000	99.194893	98.896599	98.822021	0	0	1	1	156	1167416
1444464939	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.294370	4.270133	4.270133	1.767253	10.500000	14.500000	99.121078	98.785599	98.785599	0	0	1	1	156	1167435
1444464940	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.294370	4.268707	4.268707	1.767253	10.500000	14.500000	99.083794	98.785599	98.822884	0	0	1	1	156	1164681
1444464941	1	3	2	0	0	1	0	1	0	0	0	0	0	0	0	4.941538	4.285816	4.271558	4.271558	1.767253	10.500000	14.500000	99.082275	98.634682	98.560097	0	0	1	1	156	1167414
1444464943	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.288667	4.272984	4.274410	1.767253	10.500000	14.500000	99.305382	99.006889	98.969566	0	0	1	1	156	1167435
1444464944	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.287241	4.272984	4.272984	1.768059	10.500000	14.500000	99.306068	98.933075	98.933075	0	0	1	1	156	1167435
1444464945	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.288667	4.274410	4.274410	1.767253	10.500000	14.500000	99.268059	98.969566	98.932274	0	0	1	1	156	1164672
1444464946	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.287241	4.264430	4.263004	1.766447	10.500000	14.500000	98.969566	98.894958	98.894958	0	0	1	1	156	1168571
1444464947	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.287241	4.274410	4.274410	1.768865	10.500000	14.500000	99.194893	98.896599	98.859314	0	0	1	1	156	1167441
1444464949	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.287241	4.275836	4.271558	1.769670	10.750000	14.500000	99.120316	98.822021	98.822021	0	0	1	1	156	1164699
1444464950	2	1	4	0	0	1	0	0	0	0	0	0	0	0	0	4.941538	4.287241	4.274410	4.272984	1.768865	10.500000	14.500000	99.194176	98.858490	98.858490	0	0	1	1	156	1167426
