quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
3	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.167619	0.415824	0.000000	-12.927625
5	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.161978	0.410989	0.000000	-12.927625
6	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.163590	0.417436	0.000000	-12.927625
7	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.164396	0.417436	0.000000	-12.927625
8	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.165201	0.419048	0.000000	-12.927625
10	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.166007	0.420659	0.000000	-12.927625
11	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.170037	0.436777	0.000000	-12.927625
12	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.168425	0.425495	0.000000	-12.927625
13	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.168425	0.428718	0.000000	-12.927625
14	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.168425	0.428718	0.000000	-12.927625
16	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.169231	0.428718	0.000000	-12.927625
17	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.170842	0.433553	0.000000	-12.927625
18	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.171648	0.435165	0.000000	-12.927625
19	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.172454	0.438388	0.000000	-12.927625
20	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.172454	0.441612	0.000000	-12.927625
22	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.175678	0.441612	0.000000	-12.927625
23	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.175678	0.441612	0.000000	-12.927625
24	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.174872	0.443223	0.000000	-12.927625
25	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.174872	0.443223	0.000000	-12.927625
26	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.175678	0.446447	0.000000	-12.927625
28	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.176484	0.446447	0.000000	-12.927625
29	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.177289	0.448059	0.000000	-12.927625
30	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.177289	0.449670	0.000000	-12.927625
31	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.178901	0.451282	0.000000	-12.927625
32	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.178095	0.452894	0.000000	-12.927625
34	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.179707	0.454506	0.000000	-12.927625
35	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.179707	0.456117	0.000000	-12.927625
36	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.181319	0.456117	0.000000	-12.927625
37	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	-40.00	0.181319	0.457729	0.000000	-12.927625
