Counts	Time(sec)
1	1
2	2
2	3
2	4
0	5
0	6
2	7
1	8
0	9
1	10
0	11
0	12
0	13
0	14
1	15
0	16
0	17
0	18
0	19
2	20
1	21
1	22
2	23
0	24
0	25
1	26
0	27
0	28
0	29
2	30
0	31
0	32
1	33
1	34
0	35
1	36
3	37
2	38
0	39
1	40
0	41
1	42
0	43
2	44
0	45
1	46
0	47
0	48
0	49
2	50
0	51
0	52
0	53
1	54
0	55
0	56
1	57
0	58
0	59
0	60
1	61
2	62
1	63
1	64
0	65
0	66
0	67
0	68
0	69
0	70
0	71
1	72
0	73
1	74
0	75
1	76
0	77
2	78
0	79
1	80
0	81
1	82
0	83
1	84
0	85
1	86
1	87
0	88
0	89
1	90
2	91
1	92
0	93
1	94
3	95
1	96
1	97
2	98
1	99
0	100
0	101
1	102
1	103
0	104
2	105
1	106
1	107
0	108
0	109
0	110
1	111
0	112
0	113
0	114
0	115
0	116
0	117
0	118
1	119
0	120
0	121
0	122
1	123
0	124
2	125
0	126
0	127
1	128
1	129
0	130
0	131
0	132
1	133
1	134
1	135
0	136
0	137
0	138
2	139
0	140
1	141
1	142
2	143
2	144
1	145
0	146
0	147
0	148
0	149
0	150
2	151
1	152
0	153
1	154
1	155
0	156
2	157
1	158
0	159
1	160
1	161
1	162
0	163
0	164
0	165
1	166
2	167
0	168
0	169
2	170
2	171
0	172
2	173
0	174
1	175
0	176
0	177
1	178
0	179
0	180
1	181
0	182
2	183
0	184
1	185
1	186
0	187
1	188
1	189
1	190
0	191
1	192
0	193
1	194
0	195
0	196
0	197
0	198
2	199
0	200
1	201
0	202
1	203
1	204
0	205
1	206
0	207
0	208
0	209
1	210
0	211
1	212
0	213
0	214
1	215
0	216
2	217
0	218
0	219
1	220
1	221
0	222
1	223
2	224
2	225
0	226
0	227
0	228
0	229
2	230
0	231
0	232
1	233
1	234
1	235
2	236
0	237
0	238
0	239
0	240
0	241
1	242
0	243
0	244
0	245
0	246
1	247
1	248
2	249
3	250
0	251
0	252
0	253
0	254
2	255
0	256
1	257
0	258
0	259
2	260
1	261
0	262
0	263
1	264
0	265
0	266
1	267
1	268
0	269
1	270
1	271
1	272
0	273
1	274
2	275
1	276
0	277
1	278
0	279
0	280
0	281
0	282
1	283
0	284
2	285
1	286
1	287
1	288
1	289
1	290
0	291
0	292
0	293
1	294
2	295
0	296
0	297
0	298
0	299
1	300
0	301
0	302
0	303
0	304
1	305
0	306
1	307
1	308
1	309
2	310
0	311
0	312
0	313
0	314
0	315
0	316
1	317
0	318
0	319
0	320
0	321
0	322
1	323
0	324
1	325
1	326
0	327
1	328
2	329
0	330
0	331
1	332
1	333
2	334
0	335
0	336
2	337
2	338
0	339
0	340
0	341
1	342
0	343
2	344
0	345
0	346
1	347
2	348
0	349
1	350
0	351
2	352
0	353
1	354
0	355
1	356
0	357
1	358
1	359
2	360
1	361
1	362
2	363
0	364
1	365
1	366
0	367
0	368
0	369
0	370
0	371
1	372
1	373
0	374
1	375
1	376
1	377
2	378
0	379
2	380
2	381
0	382
2	383
0	384
0	385
0	386
0	387
1	388
1	389
1	390
0	391
2	392
0	393
0	394
1	395
1	396
0	397
0	398
0	399
0	400
0	401
1	402
0	403
1	404
0	405
1	406
1	407
0	408
1	409
3	410
0	411
1	412
0	413
2	414
0	415
2	416
0	417
0	418
1	419
0	420
0	421
0	422
0	423
1	424
1	425
0	426
2	427
0	428
0	429
0	430
0	431
1	432
0	433
0	434
1	435
0	436
3	437
3	438
1	439
0	440
0	441
0	442
0	443
1	444
0	445
1	446
1	447
1	448
1	449
2	450
1	451
1	452
2	453
0	454
1	455
2	456
1	457
1	458
0	459
1	460
0	461
0	462
0	463
0	464
0	465
0	466
4	467
1	468
1	469
0	470
1	471
1	472
0	473
1	474
0	475
2	476
2	477
0	478
2	479
0	480
1	481
1	482
0	483
0	484
0	485
0	486
0	487
1	488
1	489
0	490
0	491
0	492
0	493
1	494
2	495
1	496
0	497
0	498
0	499
0	500
0	501
2	502
2	503
1	504
1	505
0	506
0	507
1	508
2	509
1	510
0	511
0	512
0	513
0	514
0	515
2	516
0	517
1	518
0	519
2	520
1	521
1	522
0	523
1	524
0	525
1	526
0	527
0	528
1	529
1	530
0	531
1	532
0	533
0	534
1	535
1	536
0	537
1	538
0	539
3	540
0	542
0	543
2	544
1	545
1	546
0	547
2	548
0	549
0	550
1	551
1	552
2	553
0	554
0	555
1	556
3	557
1	558
2	559
2	560
2	561
2	562
1	563
0	564
