quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2	1000	4	10	9	4	4	4	4	5	4	4	4	4	4	4	4	-1.50	-4.75	1.029890	4.611135	0.481905	0.582898	0	0.613404	0.580698
3	1000	3	18	11	2	3	2	2	7	2	2	2	2	2	2	2	-1.50	-4.75	1.029890	4.612747	0.481905	0.578176	0	0.613404	0.580698
4	1000	10	4	4	3	4	4	3	3	3	3	3	3	3	3	3	-1.50	-4.50	1.030696	4.611135	0.481905	0.582898	0	0.603953	0.580698
5	1000	5	6	7	4	4	4	4	5	4	4	4	4	4	4	4	-1.50	-4.50	1.031502	4.619194	0.483331	0.599231	0	0.594512	0.580698
6	1000	4	9	13	2	3	2	2	5	2	2	2	2	2	2	2	-1.50	-4.75	1.030696	4.615971	0.483331	0.608676	1	0.568745	0.580698
7	1000	4	10	8	4	4	4	4	5	4	4	4	4	4	4	4	-1.50	-4.50	1.030696	4.614359	0.483331	0.613404	0	0.603953	0.580698
8	1000	3	10	13	3	3	3	3	6	3	3	3	3	3	3	3	-1.50	-4.75	1.029890	4.611135	0.483331	0.622871	1	0.493570	0.580698
9	1000	5	9	8	4	5	4	4	5	4	4	4	4	4	4	4	-1.50	-4.50	1.030696	4.614359	0.483331	0.613404	0	0.613404	0.580698
10	1000	5	8	11	5	5	5	5	5	5	5	5	5	5	5	5	-1.50	-4.50	1.030696	4.611135	0.483331	0.622871	1	0.573459	0.580698
11	1000	2	9	9	0	0	0	0	0	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.609524	0.480479	0.547637	1	0.542926	0.580698
12	1000	1	8	4	0	0	0	0	1	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.612747	0.479053	0.498260	1	0.547637	0.580698
13	1000	0	15	10	0	0	0	0	3	0	0	0	0	0	0	0	-1.50	-4.75	1.029890	4.611135	0.483331	0.622871	0	0.582898	0.580698
14	1000	0	13	6	0	0	0	0	1	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.612747	0.483331	0.618135	1	0.573459	0.580698
15	1000	2	14	16	0	2	0	0	5	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.612747	0.483331	0.618135	1	0.578176	0.580698
16	1000	1	15	15	1	1	1	1	6	1	1	1	1	1	1	1	-1.50	-4.50	1.032308	4.611135	0.481905	0.582898	1	0.568745	0.580698
17	1000	0	17	16	0	0	0	0	2	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.609524	0.479053	0.507648	0	0.606551	0.580698
18	1000	1	6	3	0	0	0	0	1	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.607912	0.480479	0.552349	0	0.592348	0.580698
19	1000	1	11	4	0	0	0	0	1	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.609524	0.481905	0.587622	0	0.582898	0.580698
20	1000	0	14	8	0	0	0	0	1	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.611135	0.483331	0.622871	0	0.582898	0.580698
21	1000	0	9	9	0	0	0	0	2	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.611135	0.481905	0.582898	1	0.542926	0.580698
22	1000	0	14	9	0	0	0	0	1	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.604689	0.480479	0.561785	0	0.606551	0.580698
23	1000	0	23	25	0	0	0	0	4	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.607912	0.481905	0.592348	1	0.578176	0.580698
24	1000	0	28	30	0	0	0	0	8	0	0	0	0	0	0	0	-1.50	-4.50	1.030696	4.611135	0.483331	0.622871	0	0.582898	0.580698
25	1000	0	29	17	0	0	0	0	2	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.606300	0.481905	0.597080	1	0.552349	0.580698
26	1000	0	22	23	0	0	0	0	6	0	0	0	0	0	0	0	-1.50	-4.50	1.031502	4.614359	0.481905	0.573459	0	0.582898	0.580698
27	1000	0	24	15	0	0	0	0	4	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.603077	0.514697	1.527514	1	0.491123	0.580698
28	1000	0	20	22	0	0	0	0	8	0	0	0	0	0	0	0	-1.50	-4.50	1.029890	4.603077	0.481905	0.606551	1	0.561785	0.580698
29	1000	0	23	24	0	0	0	0	4	0	0	0	0	0	0	0	-1.50	-4.50	1.031502	4.609524	0.481905	0.587622	1	0.542926	0.580698
30	1000	1	26	21	1	1	1	1	8	1	1	1	1	1	1	1	-1.50	-4.50	1.033114	4.619194	0.483331	0.599231	1	0.559327	0.580698
31	1000	6	3	2	2	3	2	2	2	2	2	2	2	2	2	2	-1.50	-4.50	1.032308	4.614359	0.476202	0.413683	1	0.542926	0.580698
32	1000	0	12	20	0	0	0	0	4	0	0	0	0	0	0	0	-1.50	-4.50	1.031502	4.609524	0.483331	0.627609	1	0.578176	0.580698
33	1000	0	17	25	0	0	0	0	5	0	0	0	0	0	0	0	-1.50	-4.50	1.032308	4.612
