time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1441	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	4.938315	4.205974	4.205974	4.200271	2.578755	27.500000	30.500000	97.401169	97.102592	97.102592	0	0	1	1	150	1150968
1442	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.201696	4.200271	2.578755	27.500000	30.500000	97.253250	96.954758	96.954758	0	0	1	1	150	1203031
1443	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	4.939927	4.210251	4.200271	4.200271	2.578755	27.500000	30.500000	97.290565	96.992073	96.656265	0	0	1	1	150	1151022
1445	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.200271	4.198845	2.579561	27.500000	30.500000	97.290565	96.992073	96.954758	0	0	1	1	150	1201326
1446	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.213102	4.203122	4.198845	2.579561	27.500000	30.500000	97.290565	96.992073	96.992073	0	0	1	1	150	1151033
1447	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.210251	4.200271	4.198845	2.581172	27.500000	30.500000	97.253250	97.029381	96.730888	0	0	1	1	150	1151080
1448	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.211677	4.201696	4.200271	2.578755	27.500000	30.500000	97.289207	97.027954	97.027954	0	0	1	1	150	1208287
1450	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.210251	4.200271	4.198845	2.579561	27.500000	30.500000	97.326546	97.065269	97.027954	0	0	1	1	150	1151034
1451	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.210251	4.201696	4.200271	2.580367	27.500000	30.500000	97.290565	96.992073	96.992073	0	0	1	1	150	1150975
1452	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.211677	4.200271	4.200271	2.579561	27.500000	30.500000	97.326546	97.027954	96.990623	0	0	1	1	150	1150975
1453	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.213102	4.204548	4.204548	2.578755	27.500000	30.500000	97.399864	97.101173	97.101173	0	0	1	1	150	1164604
1454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.203122	4.198845	2.579561	27.500000	30.500000	97.253250	97.029381	96.954758	0	0	1	1	150	1152180
1456	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.213102	4.201696	4.198845	2.581172	27.500000	30.500000	97.289207	97.027954	96.990623	0	0	1	1	150	1150970
1457	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.213102	4.201696	4.200271	2.580367	27.500000	30.500000	97.291908	96.993515	97.030815	0	0	1	1	150	1164603
1458	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.201696	4.201696	2.580367	27.500000	30.500000	97.290565	97.029381	96.992073	0	0	1	1	150	1151021
1459	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.213102	4.200271	4.187439	2.581172	27.500000	30.500000	97.215927	96.954758	96.954758	0	0	1	1	150	1150968
1460	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	4.939927	4.203122	4.186013	4.188865	2.580367	27.500000	30.500000	97.029381	96.768196	96.805519	0	0	1	1	150	1164644
1461	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.214528	4.201696	4.201696	2.581978	27.500000	30.500000	97.362526	97.101173	97.063843	0	0	1	1	150	1151021
1463	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.211677	4.203122	4.201696	2.581172	27.500000	30.500000	97.326546	97.065269	96.990623	0	0	1	1	150	1150966
1464	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.200271	4.201696	2.581978	27.500000	30.500000	97.253250	97.029381	96.992073	0	0	1	1	150	1150968
1465	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.201696	4.194568	4.191716	2.579561	27.500000	30.500000	97.251877	97.102592	96.878654	0	0	1	1	150	1164604
1466	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.214528	4.203122	4.201696	2.580367	27.500000	30.500000	97.399864	97.101173	97.101173	0	0	1	1	150	1152168
1467	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.211677	4.201696	4.200271	2.581978	27.500000	30.500000	97.329208	97.030815	96.993515	0	0	1	1	150	1150966
1469	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	4.938315	4.211677	4.201696	4.200271	2.581172	27.500000	30.500000	97.289207	97.027954	96.990623	0	0	1	1	150	1164662
1470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.210251	4.200271	4.201696	2.581978	27.500000	30.500000	97.289207	97.065269	96.990623	0	0	1	1	150	1151033
1471	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.211677	4.200271	4.198845	2.581978	27.500000	30.500000	97.289207	97.065269	97.027954	0	0	1	1	150	1150976
1472	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	4.938315	4.200271	4.190290	4.190290	2.579561	27.500000	30.500000	97.251877	96.766678	97.102592	0	0	1	1	150	1150978
1473	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.198845	4.188865	2.581978	27.500000	30.500000	97.290565	96.954758	97.029381	0	0	1	1	150	1164612
1475	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.200271	4.201696	2.581172	27.500000	30.500000	97.290565	96.992073	96.992073	0	0	1	1	150	1151031
1476	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.210251	4.200271	4.201696	2.581978	27.500000	30.500000	97.289207	97.065269	96.990623	0	0	1	1	150	1150976
1477	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.214528	4.204548	4.203122	2.581172	27.500000	30.500000	97.437195	97.138504	97.138504	0	0	1	1	150	1164611
1478	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.201696	4.205974	4.193142	2.581978	27.500000	30.500000	97.182777	96.847298	96.772751	0	0	1	1	150	1152179
1479	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.213102	4.200271	4.200271	2.581978	27.500000	30.500000	97.254616	96.956223	96.918915	0	0	1	1	150	1150971
1481	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.198845	4.198845	2.581978	27.500000	30.500000	97.327873	97.029381	96.992073	0	0	1	1	150	1164605
1482	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.200271	4.198845	2.581172	27.500000	30.500000	97.253250	96.954758	96.954758	0	0	1	1	150	1151021
1483	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.210251	4.200271	4.204548	2.581172	27.500000	30.500000	97.290565	96.730888	97.253250	0	0	1	1	150	1150970
1484	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.213102	4.201696	4.200271	2.581978	27.500000	30.500000	97.326546	96.990623	96.990623	0	0	1	1	150	1151070
1485	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.211677	4.200271	4.200271	2.582784	27.500000	30.500000	97.253250	96.992073	96.954758	0	0	1	1	150	1164607
1487	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.210251	4.200271	4.198845	2.581172	27.500000	30.500000	97.326546	97.102592	97.065269	0	0	1	1	150	1151021
1488	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.211677	4.200271	4.198845	2.580367	27.500000	30.500000	97.326546	97.027954	96.729362	0	0	1	1	150	1150968
1489	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.215954	4.203122	4.187439	2.581172	27.500000	30.500000	97.437195	97.101173	97.063843	0	0	1	1	150	1164602
